会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社ミマキエンジニアリング,https://japan.mimaki.com,池田和明,長野県,東御市,1118,435746,1975,8,プライム（内国株式）,BtoB,IT,PC・スマホ周辺機器製造,システム開発,,,,,,,,,,,,,,,,,,,
長野日本無線株式会社,http://www.njrc.jp,窪田昌治,長野県,長野市,873,364958,1949,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社電算システム,https://www.densan-s.co.jp,高橋譲太,岐阜県,岐阜市,892,246914,1967,3,未上場,BtoB,IT,クラウド系・Fintech,システム開発,,,,,,,,,,,,,,,,,,,
北陸コンピュータ・サービス株式会社,https://www.hcs.co.jp,多賀満,石川県,金沢市,656,24000,1967,10,未上場,BtoB,IT,クラウド系・Fintech,システム開発,,,,,,,,,,,,,,,,,,,
株式会社NS・コンピュータサービス,http://nscs.jp,佐々木修,新潟県,長岡市,547,32300,1985,4,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
三谷産業株式会社,http://www.mitani.co.jp,三谷忠照,石川県,金沢市,631,480800,1949,8,スタンダード（内国株式）,BtoB,IT,化学品・医療品商社,システム開発,空調設備工事,,,,,,,,,,,,,,,,,,
株式会社高志インテック,http://www.koushi-intec.co.jp,本江康浩,富山県,富山市,650,9000,2005,7,未上場,BtoB,IT,システム開発,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
株式会社サンワネッツ,http://www.sanwanets.co.jp,水谷欣志,静岡県,袋井市,546,10000,1970,7,未上場,BtoB,IT,一般貨物輸送,システム開発,倉庫,,,,,,,,,,,,,,,,,,
キヤノンイメージングシステムズ株式会社,https://imgsys.canon,廣木茂,新潟県,新潟市中央区,514,10000,1990,1,未上場,BtoB,IT,システム開発,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ヤマウラ,https://yamaura.co.jp,山浦正貴,長野県,駒ヶ根市,472,288849,1960,8,プライム（内国株式）,BtoB,IT,土木工事,マンション売買,電力・発電製造,,,,,,,,,,,,,,,,,,
明電システムソリューション株式会社,https://www.meidensha.co.jp,鈴木典芳,静岡県,沼津市,491,5000,1978,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社石川コンピュータ・センター,https://www.icc.co.jp,山浦伯之,石川県,金沢市,466,22200,1972,10,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
辰巳化学株式会社,https://www.tatsumi-kagaku.com,黒崎隆博,石川県,金沢市,452,10000,1941,7,未上場,BtoB,IT,製薬,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社建設システム,https://www.kentem.jp,重森渉,静岡県,富士市,462,4000,1992,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社アスプコミュニケーションズ,https://www.asp-communications.co.jp,上野剛史,富山県,富山市,451,3000,1989,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
エプソンアヴァシス株式会社,https://avasys.jp,武井喬,長野県,上田市,454,30000,1980,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
タック株式会社,https://www.taknet.co.jp,髙橋繁樹,岐阜県,大垣市,437,6000,1976,3,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社静岡新聞社,https://shizushinsbs.co.jp,大石剛,静岡県,静岡市駿河区,441,10000,1941,12,未上場,"BtoB,BtoC",IT,新聞,Webアプリ・サービス運営,書籍出版,,,,,,,,,,,,,,,,,,
キッセイコムテック株式会社,https://www.kicnet.co.jp,神澤鋭二,長野県,松本市,424,33400,1985,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
協立電機株式会社,http://www.kdwan.co.jp,西信之,静岡県,静岡市駿河区,401,144144,1959,2,スタンダード（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
北電情報システムサービス株式会社,https://www.hiss.co.jp,多賀淳二,富山県,富山市,390,5000,1987,4,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,クラウド系・Fintech,,,,,,,,,,,,,,,,,,
旭陽電気株式会社,https://www.kyokuyo-e.co.jp,金山光雄,山梨県,韮崎市,351,2,1968,4,未上場,BtoB,IT,電子部品,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社日本オープンシステムズ,https://www.jops.co.jp,園博昭,富山県,富山市,426,5200,1990,7,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社EMD,https://www.emdes.co.jp,山下龍男,岐阜県,羽島市,391,8400,1995,2,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,工作機器,,,,,,,,,,,,,,,,,,
アズサイエンス株式会社,https://azscience.jp,鈴木孝,長野県,松本市,389,6136,1974,4,未上場,BtoB,IT,医療機器商社,システム開発,,,,,,,,,,,,,,,,,,,
三栄ハイテックス株式会社,https://www.sanei-hy.co.jp,間淵義宏,静岡県,,346,30240,1983,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社ユーコム,https://www.ucm.co.jp,今牧一盛,富山県,富山市,345,2000,1983,6,未上場,BtoB,IT,システム開発,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
株式会社イシグロ,https://www.ishiguro-gr.com,石黒陽,静岡県,,328,5000,1974,6,未上場,BtoC,IT,スポーツ用品,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社テクノア,https://www.technoa.co.jp,山﨑耕治,岐阜県,岐阜市,340,7280,1985,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
鈴与システムテクノロジー株式会社,http://www.sst-web.com,佐藤滋美,静岡県,静岡市清水区,302,2000,1990,4,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ほくつう,https://www.hokutsu.co.jp,早川信之,石川県,金沢市,290,7800,1950,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社メビウス,https://www.mob.co.jp,加藤幸久,新潟県,新潟市中央区,297,24000,1983,10,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社シーティーエス,https://www.cts-h.co.jp,横島泰蔵,長野県,上田市,290,300000,1972,4,プライム（内国株式）,BtoB,IT,交通関連土木工事,,,,,,,,,,,,,,,,,,,,
株式会社SBS情報システム,http://www.sbs-infosys.co.jp,松澤正典,静岡県,静岡市駿河区,263,8800,1999,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社インフォファーム,https://www.infofarm.co.jp,辻博文,岐阜県,岐阜市,261,8000,1969,11,未上場,BtoB,IT,システム開発,IT系教育,,,,,,,,,,,,,,,,,,,
