会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
任天堂株式会社,https://www.nintendo.co.jp,古川俊太郎,京都府,京都市南区,3420,1006500,1947,11,プライム（内国株式）,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
ソニーグループ株式会社,http://www.sony.co.jp,槙公雄,東京都,港区,3175,88135700,1946,5,プライム（内国株式）,BtoB,ゲーム,音響・映像機器,ゲーム開発,,,,,,,,,,,,,,,,,,,
株式会社セガ,https://www.sega.co.jp,杉野行雄,東京都,品川区,2961,10000,1960,6,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社デジタルハーツ,https://www.digitalhearts.com,二宮康真,東京都,新宿区,2373,20000,2001,4,未上場,BtoB,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社ソニー・インタラクティブエンタテインメント,https://sonyinteractive.com,JimRyan,東京都,港区,1975,10000,2010,4,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社コーエーテクモゲームス,https://www.koeitecmo.co.jp,襟川陽一,神奈川県,横浜市西区,1834,909000,1978,7,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社ディー・エヌ・エー,https://dena.com,岡村信悟,東京都,渋谷区,1891,1039700,1999,3,プライム（内国株式）,"BtoB,BtoC",ゲーム,ソーシャルゲーム・SNS,ジム・フィットネス,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
株式会社タイトー,https://www.taito.co.jp,岩木克彦,東京都,新宿区,1583,5000,1953,8,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社バンダイナムコスタジオ,https://www.bandainamcostudios.com,内山大輔,東京都,江東区,1188,1000,2012,4,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
フューチャー・アンティークス株式会社,https://www.futureantiques.co.jp,林高浩,東京都,渋谷区,783,4000,2005,6,未上場,BtoB,ゲーム,ソーシャルゲーム・SNS,サービス業人材派遣,人材紹介,,,,,,,,,,,,,,,,,,
株式会社バンダイナムコエンターテインメント,https://www.bandainamcoent.co.jp,宇田川南欧,東京都,港区,864,1000000,1955,6,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,パチンコ,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,
株式会社マーベラス,https://corp.marv.jp,佐藤澄宣,東京都,品川区,656,361100,1997,6,プライム（内国株式）,"BtoC,BtoB",ゲーム,ゲーム開発,ソーシャルゲーム・SNS,映画・アニメーション,,,,,,,,,,,,,,,,,,
株式会社大都技研,http://www.daitogiken.com,木原海俊,東京都,台東区,567,8400,1980,12,未上場,"BtoC,BtoB",ゲーム,アミューズメント機器,ゲーム開発,,,,,,,,,,,,,,,,,,,
株式会社Aiming,https://aiming-inc.com,椎葉忠志,東京都,渋谷区,536,258026,2011,5,グロース（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
