会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社北海道新聞社,https://kk.hokkaido-np.co.jp,宮口宏夫,北海道,札幌市中央区,1236,30000,1942,11,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社インタラック関東北,http://interac.co.jp,岡元正久,千葉県,千葉市中央区,564,6000,2015,8,未上場,BtoB,マスコミ,サービス業人材派遣,書籍出版,企業研修,,,,,,,,,,,,,,,,,,
株式会社QVCジャパン,https://qvc.jp,グレゴリーベルトーニ,千葉県,千葉市美浜区,1136,1150000,2000,6,未上場,BtoC,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
株式会社河北新報社,https://www.kahoku.co.jp,一力雅彦,宮城県,仙台市青葉区,441,20000,,,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社求人ジャーナル,https://www.journal.co.jp,箱田好男,群馬県,高崎市,343,2500,1986,7,未上場,"BtoC,BtoB",マスコミ,書籍出版,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社上毛新聞社,http://www.jomo-news.co.jp,北村幸雄,群馬県,前橋市,331,3600,1939,3,未上場,BtoC,マスコミ,新聞,書籍出版,,,,,,,,,,,,,,,,,,,
株式会社福島民報社,https://www.minpo.jp,芳見弘一,福島県,福島市,326,2000,,,未上場,BtoC,マスコミ,新聞,書籍出版,,,,,,,,,,,,,,,,,,,
株式会社下野新聞社,http://www.shimotsuke.co.jp,若菜英晴,栃木県,宇都宮市,317,4800,1878,6,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社岩手日報社,https://www.iwate-np.co.jp,川村公司,岩手県,盛岡市,298,10000,1876,7,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社東奥日報社,https://www.toonippo.co.jp,塩越隆雄,青森県,青森市,272,10000,1888,12,未上場,"BtoB,BtoC",マスコミ,書籍出版,書籍出版,デザイン,,,,,,,,,,,,,,,,,,
北海道放送株式会社,https://www.hbc.co.jp,勝田直樹,北海道,札幌市中央区,266,40000,1951,11,未上場,BtoB,マスコミ,テレビ番組,ラジオ制作,,,,,,,,,,,,,,,,,,,
株式会社河北仙販,http://www.senpan.co.jp,荒浩一,宮城県,仙台市宮城野区,262,3000,1959,7,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
札幌テレビ放送株式会社,http://www.stv.jp,井上健,北海道,札幌市中央区,243,70000,1958,4,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
株式会社秋田魁新報社,https://kocchake.com,佐川博之,秋田県,秋田市,242,10000,1974,2,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社ニューメディア,https://www.ncv.co.jp,金子敦,山形県,米沢市,241,108690,1986,6,未上場,"BtoB,BtoC",マスコミ,放送局,携帯・通信回線販売代理店,携帯・通信回線販売代理店,,,,,,,,,,,,,,,,,,
株式会社茨城新聞社,https://ibarakinews.jp,沼田安広,茨城県,水戸市,211,5000,1891,7,未上場,BtoC,マスコミ,新聞,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,,
福島民友新聞株式会社,http://www.minyu-net.com,中川俊哉,福島県,福島市,227,10000,1895,5,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社山形新聞社,https://www.yamagata-np.jp,寒河江浩二,山形県,山形市,206,10000,1876,9,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社地域新聞社,https://chiikinews.co.jp,山田旬,千葉県,八千代市,214,36001,1984,8,グロース（内国株式）,BtoB,マスコミ,書籍出版,広告代理店,,,,,,,,,,,,,,,,,,,
株式会社十勝毎日新聞社,https://www.tokachi.co.jp,林浩史,北海道,帯広市,198,3000,1919,9,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社デーリー東北新聞社,https://www.daily-tohoku.company,荒瀬潔,青森県,八戸市,193,7000,1945,12,未上場,"BtoB,BtoC",マスコミ,新聞,書籍出版,保険代理店,,,,,,,,,,,,,,,,,,
北海道テレビ放送株式会社,http://www.htb.co.jp,寺内達郎,北海道,札幌市中央区,199,70000,1967,12,未上場,BtoB,マスコミ,テレビ番組,ラジオ制作,,,,,,,,,,,,,,,,,,,
株式会社加藤新聞舗,https://www.yc-katou.com,加藤憲一,千葉県,市川市,171,5000,1967,12,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社日本標準,https://www.nipponhyojun.co.jp,山田雅彦,埼玉県,日高市,166,5000,1950,7,未上場,"BtoB,BtoC",マスコミ,書籍出版,,,,,,,,,,,,,,,,,,,,
株式会社ジェイコム札幌,https://group-companies.jcom.co.jp,寺尾弘一,北海道,札幌市豊平区,171,880000,1983,8,未上場,BtoC,マスコミ,テレビ番組,通信回線,,,,,,,,,,,,,,,,,,,
株式会社エイチ・ビー・シー・フレックス,https://www.hbc-flex.co.jp,今井信之,北海道,札幌市中央区,162,3000,1955,8,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
北海道文化放送株式会社,https://www.uhb.jp,鶴井亨,北海道,札幌市中央区,166,50000,1971,6,未上場,"BtoB,BtoC",マスコミ,放送局,,,,,,,,,,,,,,,,,,,,
エイチ・テー・ビー映像株式会社,http://miruca.co.jp,川筋雅文,北海道,札幌市中央区,153,2000,1992,4,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
東北放送株式会社,https://www.tbc-sendai.co.jp,一力敦彦,宮城県,仙台市太白区,160,10000,1951,12,未上場,BtoB,マスコミ,テレビ番組,ラジオ制作,,,,,,,,,,,,,,,,,,,
株式会社メディアサプライ,http://www.media-supply.co.jp,高橋重光,埼玉県,鶴ヶ島市,150,-,1992,7,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社秋田放送,http://www.akita-abs.co.jp,立田聡,秋田県,秋田市,139,10000,1953,10,未上場,"BtoB,BtoC",マスコミ,放送局,イベント,,,,,,,,,,,,,,,,,,,
大口製本印刷株式会社,http://www.obp1949.co.jp,佐藤竜一,埼玉県,三芳町,134,4950,1949,7,未上場,BtoB,マスコミ,書籍出版,,,,,,,,,,,,,,,,,,,,
株式会社岩手日日新聞社,https://www.iwanichi.co.jp,山岸学,岩手県,一関市,136,1500,1923,2,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
青森放送株式会社,https://www.rab.co.jp,山本恒太,青森県,青森市,130,15000,1953,9,未上場,BtoB,マスコミ,放送局,テレビ番組,ラジオ制作,,,,,,,,,,,,,,,,,,
株式会社札幌映像プロダクシヨン,http://www.apro-g.co.jp,津嶋徳一,北海道,札幌市中央区,130,3000,1975,12,未上場,BtoB,マスコミ,CM制作・映像制作,テレビ番組,芸能プロダクション・タレント,,,,,,,,,,,,,,,,,,
株式会社オーテック,http://www.autec-web.jp,及川純,北海道,札幌市中央区,138,2500,1980,11,未上場,BtoB,マスコミ,テレビ番組,CM制作・映像制作,,,,,,,,,,,,,,,,,,,
株式会社北海道建設新聞社,https://e-kensin.net,小泉昌弘,北海道,札幌市中央区,131,3000,1958,7,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
山形放送株式会社,https://www.ybc.co.jp,本間和夫,山形県,山形市,128,30000,1953,10,未上場,BtoB,マスコミ,放送局,,,,,,,,,,,,,,,,,,,,
株式会社秋田ケーブルテレビ,https://www.cna.ne.jp,松浦隆一,秋田県,秋田市,120,120000,1984,6,未上場,BtoC,マスコミ,放送局,,,,,,,,,,,,,,,,,,,,
株式会社宮城テレビ放送,http://www.mmt-tv.co.jp,玉井忠幸,宮城県,仙台市宮城野区,112,30000,1970,1,未上場,"BtoB,BtoC",マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
株式会社東日本放送,https://www.khb-tv.co.jp,佐藤吉雄,宮城県,仙台市太白区,119,100000,1974,10,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
福島テレビ株式会社,http://www.fukushima-tv.co.jp,横山淳,福島県,福島市,115,30000,1962,6,未上場,BtoC,マスコミ,放送局,イベント,,,,,,,,,,,,,,,,,,,
株式会社青森テレビ,http://www.atv.jp,小山内悟,青森県,青森市,101,30000,1968,12,未上場,BtoC,マスコミ,放送局,テレビ番組,,,,,,,,,,,,,,,,,,,
山新販売株式会社,http://www.yamashinhanbai.jp,池上善秋,山形県,山形市,65,2000,1997,4,未上場,BtoC,マスコミ,新聞,書籍出版,,,,,,,,,,,,,,,,,,,
秋田テレビ株式会社,http://www.akt.co.jp,石塚真人,秋田県,秋田市,113,30000,1968,12,未上場,"BtoC,BtoB",マスコミ,放送局,テレビ番組,,,,,,,,,,,,,,,,,,,
株式会社福島中央テレビ,https://www.fct.co.jp,河田卓司,福島県,郡山市,119,40000,1969,5,未上場,BtoC,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
株式会社テレビユー福島,http://www.tuf.co.jp,信国一朗,福島県,福島市,97,100000,1983,6,未上場,BtoB,マスコミ,放送局,テレビ番組,,,,,,,,,,,,,,,,,,,
株式会社陸奥新報社,http://www.mutusinpou.co.jp,三上知見,青森県,弘前市,94,10000,,,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社北海道新聞HotMedia,http://kk.hokkaido-np.co.jp,佐藤剛,北海道,札幌市中央区,92,3000,1982,7,未上場,BtoB,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社テレビ岩手,http://www.tvi.jp,楢崎憲二,岩手県,盛岡市,96,40000,1969,12,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
株式会社室蘭民報社,http://www.muromin.co.jp,野田龍也,北海道,室蘭市,90,7998,1945,12,未上場,BtoC,マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
株式会社ビーディーエス,https://www.bds.co.jp,加藤丈児,千葉県,柏市,101,8000,1983,4,未上場,"BtoC,BtoB",マスコミ,書籍出版,Webアプリ・サービス運営,二輪車,,,,,,,,,,,,,,,,,,
株式会社小松写真印刷,https://www.komatsu-corp.co.jp,村上慈,山形県,酒田市,95,5000,1948,8,未上場,"BtoC,BtoB",マスコミ,紙媒体印刷,書籍出版,Web制作,,,,,,,,,,,,,,,,,,
株式会社テレビ北海道,https://www.tv-hokkaido.co.jp,桑田一郎,北海道,札幌市中央区,93,200000,1988,8,未上場,BtoB,マスコミ,放送局,テレビ番組,,,,,,,,,,,,,,,,,,,
株式会社福島放送,http://www.kfb.co.jp,福家康宣,福島県,郡山市,89,120000,1981,2,未上場,BtoB,マスコミ,テレビ番組,,,,,,,,,,,,,,,,,,,,
岡崎医療株式会社,http://www.okazaki-iryo.jp,齋藤嘉廣,山形県,山形市,90,2000,1961,4,未上場,"BtoC,BtoB",マスコミ,介護用品,ラジオ制作,調剤薬局,,,,,,,,,,,,,,,,,,
株式会社岩手朝日テレビ,http://www.iat.co.jp,畠山大,岩手県,盛岡市,80,300000,1996,10,未上場,BtoC,マスコミ,放送局,,,,,,,,,,,,,,,,,,,,
株式会社釧路新聞社,https://www.news-kushiro.co.jp,星匠,北海道,釧路市,77,3000,1946,11,未上場,"BtoB,BtoC",マスコミ,新聞,,,,,,,,,,,,,,,,,,,,
