会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
富士フレーバー株式会社,https://www.fjf.co.jp,松井功,東京都,羽村市,121,10000,1971,5,未上場,BtoB,化学,肥料・農薬製造,化学品製造,,,,,,,,,,,,,,,,,,,
細谷火工株式会社,https://hosoya-pyro.co.jp,細谷穰志,東京都,あきる野市,101,20160,1951,5,スタンダード（内国株式）,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社ソルプラス,http://www.sol-plus.co.jp,吉田浩,東京都,日の出町,39,5000,1966,9,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
東京プラスチックス株式会社,http://www.tokyo-plastics.co.jp,田村義幸,東京都,日の出町,39,1000,1960,9,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社トライワーク,http://www.trywork.jp,土田晃之,東京都,日の出町,19,1000,1984,8,未上場,BtoB,化学,樹脂製品製造,金属加工請負,,,,,,,,,,,,,,,,,,,
有限会社多摩商工,http://tamasyoukou-hi164.blogdehp.ne.jp,池田博,東京都,瑞穂町,20,600,1987,7,未上場,BtoB,化学,樹脂製品製造,タイヤ製造・ゴム製品製造,,,,,,,,,,,,,,,,,,,
株式会社ユニフィードエンジニアリング,http://www.unifeed.co.jp,薄井啓,東京都,瑞穂町,11,2000,1994,4,未上場,BtoB,化学,食品機械,化学品製造,研究・調査・リサーチ,,,,,,,,,,,,,,,,,,
日晨化学工業株式会社,https://www.nissin-tnk.jp,田中壽昭,東京都,檜原村,9,1000,1964,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社岡部園芸産業,http://www.okabe-9253.co.jp,岡部博信,東京都,あきる野市,9,1000,1973,11,未上場,"BtoC,BtoB",化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
東和化成工業株式会社,http://www.towa-kasei.co.jp,髙田隆久,東京都,瑞穂町,7,1000,1968,4,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
有限会社ダイワプロ,http://www.daiwapro.com,坂内進,東京都,羽村市,5,-,1984,8,未上場,"BtoB,BtoC",化学,化学品製造,日用品製造,,,,,,,,,,,,,,,,,,,
有限会社三都物産,http://www.santobutsusan.jp,津布久叔宏,東京都,あきる野市,4,-,1977,6,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
有限会社エクセル,http://www.onyx.dti.ne.jp,-,東京都,西東京市,4,-,,,未上場,BtoC,化学,,,,,,,,,,,,,,,,,,,,,
野村植産株式会社,http://nomuraseed.strikingly.com,野村辰也,東京都,あきる野市,3,-,,,未上場,"BtoB,BtoC",化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
竜飛精工羽村工場有限会社,http://www.tappiseiko.co.jp,-,東京都,羽村市,3,-,1983,3,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社テクス,http://www.kk-tecs.co.jp,竹山昌孝,東京都,瑞穂町,2,4000,1989,9,未上場,BtoB,化学,接着剤製造,金型製造,,,,,,,,,,,,,,,,,,,
