配信日時,プレスリリースURL,プレスリリースタイトル,プレスリリース種類,プレスリリースカテゴリ1,プレスリリースカテゴリ2,会社名,会社URL,業種,住所,電話番号,代表者,上場区分,資本金,設立日,資本金（万円）,設立年,設立月
2025-07-01 23:50:01,https://prtimes.jp/main/html/rd/p/000000088.000033900.html,中部地方の企業専用！上場企業と共同開催の金融業向けのマーケティングDXセミナー,イベント,証券・FX・投資信託,None,ポップコーン株式会社,https://ppcn.co.jp,情報通信,東京都渋谷区宇田川町 2-1 渋谷ホームズ523号室,-,大澤陽平,未上場,-,2018年02月,-,2018,2
2025-07-01 23:44:41,https://prtimes.jp/main/html/rd/p/000000018.000077322.html,【高級ブランド家具 最大50％OFF！】期間限定割引セール開催！,キャンペーン,インテリア・家具・収納,建築・空間デザイン,株式会社DOPA,https://www.dopa.co.jp/,商業（卸売業、小売業）,東京都港区北青山2-7-13,0120-070-733,山北豊一郎,未上場,-,2016年08月,-,2016,8
2025-07-01 23:20:46,https://prtimes.jp/main/html/rd/p/000000057.000053855.html,株式会社タンソーマンGXがIVS2025 Startup Marketに出展。再エネ促進のための電気AI診断「デンキチェック」新機能の開発を正式発表,商品サービス,ネットサービス,電気・ガス・資源・エネルギー,株式会社タンソーマンGX,https://corp.tanso-man.com/,情報通信,東京都品川区上大崎三丁目2番1号 目黒センタービル8F,03-6555-8314,福元惇二,未上場,100万円,2019年01月,100,2019,1
2025-07-01 23:07:06,https://prtimes.jp/main/html/rd/p/000000002.000155178.html,"スワイプ型LPで ""タイパ"" 時代の新しいLP体験を実現。モバイル特化・CVR最適化を支援する「Yooca」（ようか）試験稼働開始と参加者募集のお知らせ",商品サービス,ネットサービス,None,株式会社ジーニーズ,-,サービス業,三重県四日市市諏訪栄町7-34 SYNTHビジネスセンター近鉄四日市,-,阪　和幸,未上場,-,-,-,-,-
2025-07-01 22:50:57,https://prtimes.jp/main/html/rd/p/000000080.000032040.html,"Shu Doso - 1st Single ""Man in Nature"" 絶賛配信中！",人物,音楽,自然・天気,ＤＯＴＯＷＮ株式会社,https://dotown.co.jp/,サービス業,東京都渋谷区千駄ヶ谷2-1-8 12階,03-5339-2577,道祖修二,未上場,1億円,2004年03月,10000,2004,3
2025-07-01 22:40:01,https://prtimes.jp/main/html/rd/p/000008767.000014827.html,MyGO!!!!! ZEPP TOUR 2025「心のはしを辿って」東京公演 開催報告,イベント,漫画・アニメ,音楽,株式会社ブシロード,http://bushiroad.com/,製造業,東京都中野区中央1-38-1 住友中野坂上ビル2階,-,木谷高明,東証グロース,37億2872万円,2007年05月,372872,2007,5
2025-07-01 22:26:02,https://prtimes.jp/main/html/rd/p/000000005.000156980.html,Makuake最終応援購入金額700万円超！話題の靴用乾燥剤「カラッとヒーロー」が約2か月待ちで予約販売スタート,商品サービス,日用品・生活雑貨,None,山仁薬品株式会社,https://www.yamani-g.co.jp/,商業（卸売業、小売業）,滋賀県犬上郡甲良町金屋1260-3,06-6351-0710,関谷　康子,未上場,2400万円,1955年02月,2400,1955,2
2025-07-01 22:23:53,https://prtimes.jp/main/html/rd/p/000000025.000088743.html,「About Vintage」は「AV86」へ社名変更。創業10周年のリブランディングを実施,経営情報,メンズファッション,None,About Vintage,https://jp.aboutvintage.com/,製造業,"Gothersgade 97, Copenhagen K, Denmark",45-7174-7471,Thomas Andersen & Sebastian Skov,未上場,4400万円,2014年09月,4400,2014,9
2025-07-01 22:00:02,https://prtimes.jp/main/html/rd/p/000002232.000038094.html,2025-2026シーズン　登録完了選手（2025年6月30日付）,人物,スポーツ,None,一般社団法人Ｔリーグ,https://tleague.jp/,サービス業,東京都新宿区霞ヶ丘町4番2号　 JAPAN SPORT OLYMPIC SQUARE 4階 408号室,03-4405-3447,坂井一也,未上場,-,2017年03月,-,2017,3
2025-07-01 21:47:48,https://prtimes.jp/main/html/rd/p/000000002.000162442.html,全国のドッグラン閉鎖の危機を救え！運営者と利用者を繋ぐポータルアプリ「ドッグランウズウズ」、新機能開発に向けクラウドファンディングを開始,キャンペーン,広告・宣伝・PR,環境・エコ・リサイクル,株式会社ドッグガード,-,情報通信,大阪府大阪市北区梅田一丁目１−３ 大阪駅前第３ビル２３０７,-,野中稔真,未上場,-,2024年11月,-,2024,11
2025-07-01 21:31:52,https://prtimes.jp/main/html/rd/p/000000251.000101737.html,7/11(金)〜TOHOシネマズ日比谷ほか全国公開、コンサート映画『ハンス・ジマー＆フレンズ：ダイアモンド・イン・ザ・デザート』タワレコx公開記念キャンペーン開催が決定しました,キャンペーン,音楽,映画・演劇・DVD,カルチャヴィル合同会社,https://www.culture-ville.jp,サービス業,東京都渋谷区恵比寿西 1-32-12-4F,080-6716-3153,中村未知子,未上場,100万円,2010年07月,100,2010,7
