会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社TKC,https://www.tkc.jp,飯塚真規,栃木県,宇都宮市,2593,570000,1966,10,プライム（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
サイバーコム株式会社,http://www.cy-com.co.jp,渡辺剛喜,宮城県,仙台市青葉区,1277,39956,1978,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社日立ソリューションズ東日本,http://www.hitachi-solutions-east.co.jp,小玉陽一郎,宮城県,仙台市青葉区,1136,30000,1984,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
藤井産業株式会社,http://www.fujii.co.jp,藤井昌一,栃木県,宇都宮市,935,188365,1955,12,スタンダード（内国株式）,BtoB,IT,産業用電気設備工事,太陽光パネル,通信設備工事,,,,,,,,,,,,,,,,,
株式会社トライバルユニット,https://trybalunit.com,田中智幸,北海道,札幌市中央区,903,2000,2010,11,未上場,BtoB,IT,コールセンター,ITインフラストラクチャー,物流人材派遣,,,,,,,,,,,,,,,,,
株式会社HBA,https://www.hba.co.jp,伊藤尚樹,北海道,札幌市中央区,845,32400,1964,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社両毛システムズ,http://www.ryomo.co.jp,北澤直来,群馬県,桐生市,841,196690,1970,1,スタンダード（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社エイチ・エル・シー,http://www.hlc.co.jp,角谷勝弘,北海道,札幌市中央区,828,9000,1991,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ノアコンツェル,https://www.noah-konzer.com,若月昭浩,北海道,札幌市豊平区,768,10000,2002,3,未上場,"BtoB,BtoC",IT,高齢者福祉,介護用品,,,,,,,,,,,,,,,,,,
株式会社ジーシーシー,http://www.gcc.co.jp,町田敦,群馬県,前橋市,758,9000,1965,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社NTT東日本‐東北,http://www.tohoku.ntt-east.co.jp,滝澤正宏,宮城県,仙台市若林区,650,4000,1986,10,未上場,"BtoC,BtoB",IT,電話機製造,ITインフラストラクチャー,通信回線,,,,,,,,,,,,,,,,,
株式会社アイシーエス,https://www.ics.co.jp,法貴敬,岩手県,盛岡市,564,3500,1966,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ワイズマン,https://www.wiseman.co.jp,南舘聡一郎,岩手県,盛岡市,560,10000,1983,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社光風舎,http://www.kofuu.co.jp,横田敦,秋田県,秋田市,548,1500,1987,4,未上場,"BtoC,BtoB",IT,事務処理代行,ITインフラストラクチャー,給食,,,,,,,,,,,,,,,,,
株式会社GSI,https://glue-si.com,小沢隆徳,北海道,札幌市北区,548,29233,2004,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社エスイーシー,https://www.secnet.co.jp,柳原清司,北海道,函館市,518,4000,1969,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社パナソニックシステムネットワークス開発研究所,https://panasonic.co.jp,前田崇雅,宮城県,仙台市泉区,496,10000,1988,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社アベールジャパン,https://avail-japan.co.jp,市原敏雄,北海道,札幌市中央区,446,4800,2003,6,未上場,BtoB,IT,ITインフラストラクチャー,土木コンサル,空調設備工事,,,,,,,,,,,,,,,,,
株式会社つうけんアドバンスシステムズ,https://www.tads.co.jp,橘川龍也,北海道,札幌市白石区,419,35000,2001,10,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,携帯・通信回線販売代理店,,,,,,,,,,,,,,,,,
株式会社北海道日立システムズ,http://www.hokkaido-hitachi-systems.co.jp,河田淳一,北海道,札幌市中央区,418,8000,1965,10,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,情報セキュリティ,,,,,,,,,,,,,,,,,
雄勝セラミックス株式会社,http://www.ock.co.jp,髙橋チヱ子,秋田県,湯沢市,405,3000,1976,9,未上場,BtoB,IT,電子部品,システム開発,,,,,,,,,,,,,,,,,,
株式会社ユードム,https://www.udom.co.jp,森淳一,茨城県,水戸市,404,9520,1976,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
ほくでん情報テクノロジー株式会社,http://www.hokuden-it.co.jp,魚住元,北海道,札幌市中央区,404,20000,1991,6,未上場,"BtoC,BtoB",IT,ITインフラストラクチャー,情報セキュリティ,,,,,,,,,,,,,,,,,,
テクノ・マインド株式会社,https://www.tmc.co.jp,阿部忠彦,宮城県,仙台市宮城野区,380,10000,1965,2,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社HDC,https://hdcweb.lilac.co.jp,西山秀樹,北海道,札幌市中央区,359,7500,1971,3,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,業務請負,,,,,,,,,,,,,,,,,
株式会社JEMS,https://www.j-ems.jp,須永裕毅,茨城県,つくば市,350,10000,1994,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社クラシマ,https://www.kurashima.co.jp,倉島卓史,福島県,福島市,336,4500,1950,12,未上場,"BtoB,BtoC",IT,ガソリンスタンド,ITインフラストラクチャー,住居リフォーム,,,,,,,,,,,,,,,,,
福島コンピューターシステム株式会社,https://www.fcs.co.jp,芳賀洋輔,福島県,郡山市,332,1000,1983,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
ダットジャパン株式会社,https://www.datt.co.jp,犬丸澄夫,北海道,札幌市中央区,325,6000,1986,4,未上場,BtoB,IT,システム開発,Webアプリ・サービス運営,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,
株式会社青森電子計算センター,http://www.acsc.co.jp,八島勝,青森県,青森市,324,20000,1965,8,未上場,BtoB,IT,ITインフラストラクチャー,ソフトウェア商社,,,,,,,,,,,,,,,,,,
日鉄ソリューションズ北海道株式会社,https://www.nssol.nipponsteel.com,大岩高雄,北海道,室蘭市,323,8000,1985,11,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
SOC株式会社,https://socnet.jp,朝倉由紀子,北海道,札幌市厚別区,309,2000,1979,4,未上場,BtoB,IT,IT系教育,,,,,,,,,,,,,,,,,,,
株式会社アルブル,http://arbre-co.jp,羽柴江里子,群馬県,太田市,289,1000,2008,2,未上場,BtoB,IT,製造・技術人材派遣,Webアプリ・サービス運営,資格取得,,,,,,,,,,,,,,,,,
株式会社なの花東北,https://www.nanohana-ph.jp,赤石正志,青森県,八戸市,277,10000,1995,2,未上場,"BtoB,BtoC",IT,調剤薬局,システム開発,,,,,,,,,,,,,,,,,,
北海道総合通信網株式会社,https://www.hotnet.co.jp,古郡宏章,北海道,札幌市中央区,270,590000,1989,4,未上場,BtoB,IT,通信回線,クラウド系・Fintech,,,,,,,,,,,,,,,,,,
株式会社富士通フロンテックシステムズ,http://www.fujitsu.com,渡部広史,群馬県,前橋市,263,20000,1982,7,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社福島情報処理センター,https://fic.co.jp,小暮憲一,福島県,郡山市,262,2000,1965,8,未上場,BtoB,IT,ITインフラストラクチャー,クラウド系・Fintech,,,,,,,,,,,,,,,,,,
システム・アルファ株式会社,https://www.system-alpha.co.jp,廣山悟,群馬県,前橋市,259,7000,1981,9,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,携帯・通信回線販売代理店,,,,,,,,,,,,,,,,,
株式会社シーエスアイ,https://www.csiinc.co.jp,新里雅則,北海道,札幌市白石区,242,10000,2013,4,未上場,BtoB,IT,システム開発,ソフトウェア商社,,,,,,,,,,,,,,,,,,
北日本コンピューターサービス株式会社,https://www.kitacom.co.jp,江畑佳明,秋田県,秋田市,240,1000,1969,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
アーク株式会社,https://www.arkgroup.jp,大泉毅,岩手県,盛岡市,237,8000,1992,2,未上場,BtoC,IT,携帯・通信回線販売代理店,携帯・通信回線販売代理店,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,
株式会社リンクステーション,https://www.linkst.jp,大嶋憲通,青森県,青森市,236,7000,2003,5,未上場,"BtoC,BtoB",IT,システム開発,Web制作,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,
株式会社ズコーシャ,http://www.zukosha.co.jp,高橋宣之,北海道,帯広市,258,1200,1973,6,未上場,BtoB,IT,土木コンサル,ITインフラストラクチャー,研究・調査・リサーチ,,,,,,,,,,,,,,,,,
株式会社原子力セキュリティサービス,http://www.ness.co.jp,川上和夫,茨城県,東海村,244,3035,1991,5,未上場,BtoB,IT,警備,防犯機器,,,,,,,,,,,,,,,,,,
株式会社テクノル,https://www.technol.co.jp,千葉哲也,青森県,八戸市,229,2000,1984,1,未上場,BtoB,IT,ソフトウェア商社,情報セキュリティ,Web制作,,,,,,,,,,,,,,,,,
株式会社東北システムズ・サポート,https://www.tsstohoku.jp,伊藤隆充,宮城県,仙台市青葉区,225,9880,1976,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社アイワード,http://iword.co.jp,奥山敏康,北海道,札幌市中央区,225,6718,1966,10,未上場,"BtoC,BtoB",IT,紙媒体印刷,システム開発,,,,,,,,,,,,,,,,,,
SCSK北海道株式会社,https://www.scsk-hokkaido.co.jp,梶田清隆,北海道,札幌市中央区,224,10000,1990,1,未上場,BtoB,IT,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
HISホールディングス株式会社,http://www.hokuyois.co.jp,森操,北海道,札幌市中央区,220,9500,1987,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社I・TECソリューションズ,https://www.itecsol.jp,住岡弘,北海道,苫小牧市,215,5000,1970,7,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,
関東情報サービス株式会社,https://www.kisl.co.jp,大塚聡,茨城県,土浦市,215,4000,1971,10,未上場,BtoB,IT,業務請負,,,,,,,,,,,,,,,,,,,
